date, pm25, pm10, o3, no2, so2, co
2019/10/9, 47, 24, 13, 8, , 10
2019/10/10, 30, 44, 6, 10, 1, 10
2019/10/11, 73, 35, 5, 11, , 12
2019/10/12, 58, 22, 13, 5, , 6
2019/10/13, 40, 14, 16, 2, , 4
2019/10/14, 17, 15, 11, 4, , 7
2019/10/15, 20, 30, 9, 10, , 14
2019/10/16, 48, 18, 6, 6, , 11
2019/10/17, 32, 23, 8, 8, , 13
2019/10/18, 34, 30, 7, 9, , 9
2019/10/19, 46, 22, 7, 6, , 7
2019/10/20, 38, 17, 8, 6, , 6
2019/10/21, 31, 35, 9, 10, , 8
2019/10/22, 69, 31, 7, 8, , 8
2019/10/23, 67, 27, 2, , , 
2019/10/24, 54, 25, 2, 10, , 14
2019/10/25, 38, 21, 3, 6, , 7
2019/10/26, 31, 17, 3, 4, , 8
2019/10/27, 26, 15, 3, 5, , 6
2019/10/28, 26, 17, 2, 5, , 8
2019/10/29, 25, 22, 3, 6, , 9
2019/10/30, 36, 18, 3, 9, , 10
2019/10/31, 44, , 3, 7, , 8
2019/11/1, 27, 41, 3, 11, , 10
2019/11/2, 57, 31, 1, 13, , 10
2019/11/3, 60, , , , , 
2019/11/15, 77, 44, 8, 9, , 18
2019/11/16, 70, 35, 10, 8, , 
2019/11/17, 49, 31, 1, 8, , 
2019/11/18, 41, 35, 12, 10, , 25
2019/11/19, 59, 36, 13, 9, , 21
2019/11/20, 62, 41, 7, 10, , 18
2019/11/21, 70, 34, 11, 8, , 75
2019/11/22, 57, 31, 6, 10, , 89
2019/11/23, 53, 36, 17, 6, , 10
2019/11/24, 59, 33, 11, 7, , 9
2019/11/25, 50, 23, 11, 5, , 15
2019/11/26, 31, 20, 5, 4, , 13
2019/11/27, 29, 20, 8, 3, , 12
2019/11/28, 25, 19, 11, 5, , 12
2019/11/29, 19, 46, 12, 12, 1, 18
2019/11/30, 79, 43, 17, 8, , 
2019/12/1, 80, 21, 11, 4, , 
2019/12/2, 31, 23, 8, 6, , 
2019/12/3, 31, 26, 11, 8, , 
2019/12/4, 33, 21, 5, 8, , 
2019/12/5, 29, 20, 4, 6, , 15
2019/12/6, 30, 39, 7, 12, , 18
2019/12/7, 70, 25, 5, 11, , 15
2019/12/8, 68, 22, 5, 7, , 11
2019/12/9, 74, 16, 5, 7, , 13
2019/12/10, 51, 14, 4, 8, , 13
2019/12/11, 37, 29, 4, 12, , 15
2019/12/12, 79, 25, 5, 8, , 12
2019/12/13, 74, 36, 5, 10, 1, 15
2019/12/14, 83, 28, 1, 12, , 14
2019/12/15, 91, 22, 3, 8, , 11
2019/12/16, 72, 10, 5, 5, , 6
2019/12/17, 30, 11, 4, 6, , 8
2019/12/18, 31, 18, 4, 9, , 12
2019/12/19, 52, 11, 2, 4, , 9
2019/12/20, 33, 9, , 5, , 9
2019/12/21, 25, 7, , 4, , 6
2019/12/22, 22, 6, , 3, , 4
2019/12/23, 30, 4, , 3, , 5
2019/12/24, 13, 7, , 3, , 5
2019/12/25, 20, 16, , 5, , 5
2019/12/26, 55, 7, , 4, , 5
2019/12/27, 21, 8, , 4, , 7
2019/12/28, 31, 16, , 7, , 10
2019/12/29, 46, 14, , , , 
2019/12/30, 38, , , , , 
2019/7/2, 31, 20, 2, 5, , 11
2019/7/3, 33, 20, 3, 4, , 8
2019/7/4, 29, 29, 5, 6, , 16
2019/7/5, 49, 23, 3, 5, , 12
2019/7/6, 40, 17, 3, 4, , 7
2019/7/7, 24, 11, 4, 1, , 6
2019/7/8, 16, 13, 4, 4, , 10
2019/7/9, 20, 19, 3, 6, , 9
2019/7/10, 26, 14, 3, 3, , 1
2019/7/11, 20, 17, 1, 4, , 3
2019/7/12, 25, 16, 3, 3, , 2
2019/7/13, 26, 14, 2, 3, , 2
2019/7/14, 19, 11, 4, 2, , 1
